binary_error,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0.21477412415488628,18.714142084121704,False,,,1,f2393ba314284665a44c0457065c0472,2021-03-18_15-57-20,1616083040,18.714142084121704,36746,MacBook-Pro-3,192.168.0.4,18.714142084121704,0,1,540e8_00016
0.21477412415488628,0.7406508922576904,False,,,2,f2393ba314284665a44c0457065c0472,2021-03-18_15-57-21,1616083041,19.454792976379395,36746,MacBook-Pro-3,192.168.0.4,19.454792976379395,0,2,540e8_00016
0.21477412415488628,0.23972606658935547,False,,,3,f2393ba314284665a44c0457065c0472,2021-03-18_15-57-21,1616083041,19.69451904296875,36746,MacBook-Pro-3,192.168.0.4,19.69451904296875,0,3,540e8_00016
0.21477412415488628,0.29839015007019043,False,,,4,f2393ba314284665a44c0457065c0472,2021-03-18_15-57-22,1616083042,19.99290919303894,36746,MacBook-Pro-3,192.168.0.4,19.99290919303894,0,4,540e8_00016
0.21477412415488628,0.34960174560546875,False,,,5,f2393ba314284665a44c0457065c0472,2021-03-18_15-57-22,1616083042,20.34251093864441,36746,MacBook-Pro-3,192.168.0.4,20.34251093864441,0,5,540e8_00016
0.21477412415488628,0.28624987602233887,False,,,6,f2393ba314284665a44c0457065c0472,2021-03-18_15-57-22,1616083042,20.628760814666748,36746,MacBook-Pro-3,192.168.0.4,20.628760814666748,0,6,540e8_00016
0.21477412415488628,0.31812119483947754,False,,,7,f2393ba314284665a44c0457065c0472,2021-03-18_15-57-22,1616083042,20.946882009506226,36746,MacBook-Pro-3,192.168.0.4,20.946882009506226,0,7,540e8_00016
0.21477412415488628,0.31200194358825684,False,,,8,f2393ba314284665a44c0457065c0472,2021-03-18_15-57-23,1616083043,21.258883953094482,36746,MacBook-Pro-3,192.168.0.4,21.258883953094482,0,8,540e8_00016
0.21477412415488628,1.792372226715088,False,,,9,f2393ba314284665a44c0457065c0472,2021-03-18_15-57-25,1616083045,23.05125617980957,36746,MacBook-Pro-3,192.168.0.4,23.05125617980957,0,9,540e8_00016
0.21477412415488628,0.2878139019012451,False,,,10,f2393ba314284665a44c0457065c0472,2021-03-18_15-57-25,1616083045,23.339070081710815,36746,MacBook-Pro-3,192.168.0.4,23.339070081710815,0,10,540e8_00016
0.21477412415488628,0.3262300491333008,False,,,11,f2393ba314284665a44c0457065c0472,2021-03-18_15-57-25,1616083045,23.665300130844116,36746,MacBook-Pro-3,192.168.0.4,23.665300130844116,0,11,540e8_00016
0.21477412415488628,0.386124849319458,False,,,12,f2393ba314284665a44c0457065c0472,2021-03-18_15-57-26,1616083046,24.051424980163574,36746,MacBook-Pro-3,192.168.0.4,24.051424980163574,0,12,540e8_00016
0.21477412415488628,0.2874290943145752,False,,,13,f2393ba314284665a44c0457065c0472,2021-03-18_15-57-26,1616083046,24.33885407447815,36746,MacBook-Pro-3,192.168.0.4,24.33885407447815,0,13,540e8_00016
0.21477412415488628,0.3001980781555176,False,,,14,f2393ba314284665a44c0457065c0472,2021-03-18_15-57-26,1616083046,24.639052152633667,36746,MacBook-Pro-3,192.168.0.4,24.639052152633667,0,14,540e8_00016
0.21477412415488628,0.2584269046783447,False,,,15,f2393ba314284665a44c0457065c0472,2021-03-18_15-57-26,1616083046,24.89747905731201,36746,MacBook-Pro-3,192.168.0.4,24.89747905731201,0,15,540e8_00016
0.21477412415488628,0.24920296669006348,False,,,16,f2393ba314284665a44c0457065c0472,2021-03-18_15-57-27,1616083047,25.146682024002075,36746,MacBook-Pro-3,192.168.0.4,25.146682024002075,0,16,540e8_00016
0.21477412415488628,0.3092498779296875,False,,,17,f2393ba314284665a44c0457065c0472,2021-03-18_15-57-27,1616083047,25.455931901931763,36746,MacBook-Pro-3,192.168.0.4,25.455931901931763,0,17,540e8_00016
0.21477412415488628,0.30585813522338867,False,,,18,f2393ba314284665a44c0457065c0472,2021-03-18_15-57-27,1616083047,25.76179003715515,36746,MacBook-Pro-3,192.168.0.4,25.76179003715515,0,18,540e8_00016
0.21477412415488628,0.2578108310699463,False,,,19,f2393ba314284665a44c0457065c0472,2021-03-18_15-57-28,1616083048,26.019600868225098,36746,MacBook-Pro-3,192.168.0.4,26.019600868225098,0,19,540e8_00016
0.21477412415488628,0.25746726989746094,False,,,20,f2393ba314284665a44c0457065c0472,2021-03-18_15-57-28,1616083048,26.27706813812256,36746,MacBook-Pro-3,192.168.0.4,26.27706813812256,0,20,540e8_00016
0.21477412415488628,0.37694478034973145,False,,,21,f2393ba314284665a44c0457065c0472,2021-03-18_15-57-28,1616083048,26.65401291847229,36746,MacBook-Pro-3,192.168.0.4,26.65401291847229,0,21,540e8_00016
0.21477412415488628,0.6193091869354248,False,,,22,f2393ba314284665a44c0457065c0472,2021-03-18_15-57-29,1616083049,27.273322105407715,36746,MacBook-Pro-3,192.168.0.4,27.273322105407715,0,22,540e8_00016
0.21477412415488628,0.2565269470214844,False,,,23,f2393ba314284665a44c0457065c0472,2021-03-18_15-57-29,1616083049,27.5298490524292,36746,MacBook-Pro-3,192.168.0.4,27.5298490524292,0,23,540e8_00016
0.21477412415488628,0.254641056060791,False,,,24,f2393ba314284665a44c0457065c0472,2021-03-18_15-57-29,1616083049,27.78449010848999,36746,MacBook-Pro-3,192.168.0.4,27.78449010848999,0,24,540e8_00016
