binary_error,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0.21634910878918254,15.94343113899231,False,,,1,917d1a54e9bd427987b6cb77546d9dcd,2021-03-18_15-56-34,1616082994,15.94343113899231,36712,MacBook-Pro-3,192.168.0.4,15.94343113899231,0,1,540e8_00009
0.21634910878918254,1.7072029113769531,False,,,2,917d1a54e9bd427987b6cb77546d9dcd,2021-03-18_15-56-36,1616082996,17.650634050369263,36712,MacBook-Pro-3,192.168.0.4,17.650634050369263,0,2,540e8_00009
0.21634910878918254,0.16098403930664062,False,,,3,917d1a54e9bd427987b6cb77546d9dcd,2021-03-18_15-56-36,1616082996,17.811618089675903,36712,MacBook-Pro-3,192.168.0.4,17.811618089675903,0,3,540e8_00009
0.21634910878918254,0.17690706253051758,False,,,4,917d1a54e9bd427987b6cb77546d9dcd,2021-03-18_15-56-36,1616082996,17.98852515220642,36712,MacBook-Pro-3,192.168.0.4,17.98852515220642,0,4,540e8_00009
0.21634910878918254,0.17042207717895508,False,,,5,917d1a54e9bd427987b6cb77546d9dcd,2021-03-18_15-56-37,1616082997,18.158947229385376,36712,MacBook-Pro-3,192.168.0.4,18.158947229385376,0,5,540e8_00009
0.21634910878918254,0.14206886291503906,False,,,6,917d1a54e9bd427987b6cb77546d9dcd,2021-03-18_15-56-37,1616082997,18.301016092300415,36712,MacBook-Pro-3,192.168.0.4,18.301016092300415,0,6,540e8_00009
0.21634910878918254,0.1951439380645752,False,,,7,917d1a54e9bd427987b6cb77546d9dcd,2021-03-18_15-56-37,1616082997,18.49616003036499,36712,MacBook-Pro-3,192.168.0.4,18.49616003036499,0,7,540e8_00009
0.21634910878918254,0.20377111434936523,False,,,8,917d1a54e9bd427987b6cb77546d9dcd,2021-03-18_15-56-37,1616082997,18.699931144714355,36712,MacBook-Pro-3,192.168.0.4,18.699931144714355,0,8,540e8_00009
0.21634910878918254,0.17793583869934082,False,,,9,917d1a54e9bd427987b6cb77546d9dcd,2021-03-18_15-56-37,1616082997,18.877866983413696,36712,MacBook-Pro-3,192.168.0.4,18.877866983413696,0,9,540e8_00009
0.21634910878918254,0.1664750576019287,False,,,10,917d1a54e9bd427987b6cb77546d9dcd,2021-03-18_15-56-37,1616082997,19.044342041015625,36712,MacBook-Pro-3,192.168.0.4,19.044342041015625,0,10,540e8_00009
0.21634910878918254,0.15994906425476074,False,,,11,917d1a54e9bd427987b6cb77546d9dcd,2021-03-18_15-56-38,1616082998,19.204291105270386,36712,MacBook-Pro-3,192.168.0.4,19.204291105270386,0,11,540e8_00009
0.21634910878918254,0.2582111358642578,False,,,12,917d1a54e9bd427987b6cb77546d9dcd,2021-03-18_15-56-38,1616082998,19.462502241134644,36712,MacBook-Pro-3,192.168.0.4,19.462502241134644,0,12,540e8_00009
0.21634910878918254,0.18189287185668945,False,,,13,917d1a54e9bd427987b6cb77546d9dcd,2021-03-18_15-56-38,1616082998,19.644395112991333,36712,MacBook-Pro-3,192.168.0.4,19.644395112991333,0,13,540e8_00009
0.21634910878918254,0.15552806854248047,False,,,14,917d1a54e9bd427987b6cb77546d9dcd,2021-03-18_15-56-38,1616082998,19.799923181533813,36712,MacBook-Pro-3,192.168.0.4,19.799923181533813,0,14,540e8_00009
0.21634910878918254,0.1710820198059082,False,,,15,917d1a54e9bd427987b6cb77546d9dcd,2021-03-18_15-56-38,1616082998,19.97100520133972,36712,MacBook-Pro-3,192.168.0.4,19.97100520133972,0,15,540e8_00009
0.21634910878918254,0.16679000854492188,False,,,16,917d1a54e9bd427987b6cb77546d9dcd,2021-03-18_15-56-39,1616082999,20.137795209884644,36712,MacBook-Pro-3,192.168.0.4,20.137795209884644,0,16,540e8_00009
0.21634910878918254,0.18277597427368164,False,,,17,917d1a54e9bd427987b6cb77546d9dcd,2021-03-18_15-56-39,1616082999,20.320571184158325,36712,MacBook-Pro-3,192.168.0.4,20.320571184158325,0,17,540e8_00009
0.21634910878918254,0.20689892768859863,False,,,18,917d1a54e9bd427987b6cb77546d9dcd,2021-03-18_15-56-39,1616082999,20.527470111846924,36712,MacBook-Pro-3,192.168.0.4,20.527470111846924,0,18,540e8_00009
0.21634910878918254,0.18624210357666016,False,,,19,917d1a54e9bd427987b6cb77546d9dcd,2021-03-18_15-56-39,1616082999,20.713712215423584,36712,MacBook-Pro-3,192.168.0.4,20.713712215423584,0,19,540e8_00009
0.21634910878918254,0.19871902465820312,False,,,20,917d1a54e9bd427987b6cb77546d9dcd,2021-03-18_15-56-39,1616082999,20.912431240081787,36712,MacBook-Pro-3,192.168.0.4,20.912431240081787,0,20,540e8_00009
0.21634910878918254,0.20801568031311035,False,,,21,917d1a54e9bd427987b6cb77546d9dcd,2021-03-18_15-56-39,1616082999,21.120446920394897,36712,MacBook-Pro-3,192.168.0.4,21.120446920394897,0,21,540e8_00009
0.21634910878918254,0.15387821197509766,False,,,22,917d1a54e9bd427987b6cb77546d9dcd,2021-03-18_15-56-40,1616083000,21.274325132369995,36712,MacBook-Pro-3,192.168.0.4,21.274325132369995,0,22,540e8_00009
0.21634910878918254,0.20587515830993652,False,,,23,917d1a54e9bd427987b6cb77546d9dcd,2021-03-18_15-56-40,1616083000,21.48020029067993,36712,MacBook-Pro-3,192.168.0.4,21.48020029067993,0,23,540e8_00009
