binary_error,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0.21396742470805163,24.346784114837646,False,,,1,dd7e2a59dfa544fca08dc2b5c92396be,2021-03-18_15-55-46,1616082946,24.346784114837646,36669,MacBook-Pro-3,192.168.0.4,24.346784114837646,0,1,540e8_00001
0.21396742470805163,0.2879810333251953,False,,,2,dd7e2a59dfa544fca08dc2b5c92396be,2021-03-18_15-55-46,1616082946,24.634765148162842,36669,MacBook-Pro-3,192.168.0.4,24.634765148162842,0,2,540e8_00001
0.21396742470805163,0.25827693939208984,False,,,3,dd7e2a59dfa544fca08dc2b5c92396be,2021-03-18_15-55-46,1616082946,24.89304208755493,36669,MacBook-Pro-3,192.168.0.4,24.89304208755493,0,3,540e8_00001
0.21396742470805163,0.19379711151123047,False,,,4,dd7e2a59dfa544fca08dc2b5c92396be,2021-03-18_15-55-46,1616082946,25.086839199066162,36669,MacBook-Pro-3,192.168.0.4,25.086839199066162,0,4,540e8_00001
0.21396742470805163,0.25405097007751465,False,,,5,dd7e2a59dfa544fca08dc2b5c92396be,2021-03-18_15-55-47,1616082947,25.340890169143677,36669,MacBook-Pro-3,192.168.0.4,25.340890169143677,0,5,540e8_00001
0.21396742470805163,0.23049592971801758,False,,,6,dd7e2a59dfa544fca08dc2b5c92396be,2021-03-18_15-55-47,1616082947,25.571386098861694,36669,MacBook-Pro-3,192.168.0.4,25.571386098861694,0,6,540e8_00001
0.21396742470805163,0.2715749740600586,False,,,7,dd7e2a59dfa544fca08dc2b5c92396be,2021-03-18_15-55-47,1616082947,25.842961072921753,36669,MacBook-Pro-3,192.168.0.4,25.842961072921753,0,7,540e8_00001
0.21396742470805163,0.2840249538421631,False,,,8,dd7e2a59dfa544fca08dc2b5c92396be,2021-03-18_15-55-47,1616082947,26.126986026763916,36669,MacBook-Pro-3,192.168.0.4,26.126986026763916,0,8,540e8_00001
0.21396742470805163,0.191986083984375,False,,,9,dd7e2a59dfa544fca08dc2b5c92396be,2021-03-18_15-55-48,1616082948,26.31897211074829,36669,MacBook-Pro-3,192.168.0.4,26.31897211074829,0,9,540e8_00001
0.21396742470805163,0.18523502349853516,False,,,10,dd7e2a59dfa544fca08dc2b5c92396be,2021-03-18_15-55-48,1616082948,26.504207134246826,36669,MacBook-Pro-3,192.168.0.4,26.504207134246826,0,10,540e8_00001
0.21396742470805163,0.18385910987854004,False,,,11,dd7e2a59dfa544fca08dc2b5c92396be,2021-03-18_15-55-48,1616082948,26.688066244125366,36669,MacBook-Pro-3,192.168.0.4,26.688066244125366,0,11,540e8_00001
0.21396742470805163,0.24230504035949707,False,,,12,dd7e2a59dfa544fca08dc2b5c92396be,2021-03-18_15-55-48,1616082948,26.930371284484863,36669,MacBook-Pro-3,192.168.0.4,26.930371284484863,0,12,540e8_00001
0.21396742470805163,0.20844173431396484,False,,,13,dd7e2a59dfa544fca08dc2b5c92396be,2021-03-18_15-55-48,1616082948,27.138813018798828,36669,MacBook-Pro-3,192.168.0.4,27.138813018798828,0,13,540e8_00001
0.21396742470805163,0.18715596199035645,False,,,14,dd7e2a59dfa544fca08dc2b5c92396be,2021-03-18_15-55-49,1616082949,27.325968980789185,36669,MacBook-Pro-3,192.168.0.4,27.325968980789185,0,14,540e8_00001
0.21396742470805163,0.20475101470947266,False,,,15,dd7e2a59dfa544fca08dc2b5c92396be,2021-03-18_15-55-49,1616082949,27.530719995498657,36669,MacBook-Pro-3,192.168.0.4,27.530719995498657,0,15,540e8_00001
0.21396742470805163,0.19726324081420898,False,,,16,dd7e2a59dfa544fca08dc2b5c92396be,2021-03-18_15-55-49,1616082949,27.727983236312866,36669,MacBook-Pro-3,192.168.0.4,27.727983236312866,0,16,540e8_00001
0.21396742470805163,0.16869306564331055,False,,,17,dd7e2a59dfa544fca08dc2b5c92396be,2021-03-18_15-55-49,1616082949,27.896676301956177,36669,MacBook-Pro-3,192.168.0.4,27.896676301956177,0,17,540e8_00001
0.21396742470805163,0.19776082038879395,False,,,18,dd7e2a59dfa544fca08dc2b5c92396be,2021-03-18_15-55-49,1616082949,28.09443712234497,36669,MacBook-Pro-3,192.168.0.4,28.09443712234497,0,18,540e8_00001
0.21396742470805163,0.16709589958190918,False,,,19,dd7e2a59dfa544fca08dc2b5c92396be,2021-03-18_15-55-50,1616082950,28.26153302192688,36669,MacBook-Pro-3,192.168.0.4,28.26153302192688,0,19,540e8_00001
0.21396742470805163,0.2023921012878418,False,,,20,dd7e2a59dfa544fca08dc2b5c92396be,2021-03-18_15-55-50,1616082950,28.46392512321472,36669,MacBook-Pro-3,192.168.0.4,28.46392512321472,0,20,540e8_00001
0.21396742470805163,0.24675512313842773,False,,,21,dd7e2a59dfa544fca08dc2b5c92396be,2021-03-18_15-55-50,1616082950,28.71068024635315,36669,MacBook-Pro-3,192.168.0.4,28.71068024635315,0,21,540e8_00001
0.21396742470805163,0.1757979393005371,False,,,22,dd7e2a59dfa544fca08dc2b5c92396be,2021-03-18_15-55-50,1616082950,28.886478185653687,36669,MacBook-Pro-3,192.168.0.4,28.886478185653687,0,22,540e8_00001
0.21396742470805163,0.2781808376312256,False,,,23,dd7e2a59dfa544fca08dc2b5c92396be,2021-03-18_15-55-50,1616082950,29.164659023284912,36669,MacBook-Pro-3,192.168.0.4,29.164659023284912,0,23,540e8_00001
